TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed,Class
22-02-2019 4.47,1550000000000.0,-3.08313,5.8937073,8.643341,-0.56884766,-0.1362915,-0.0357666,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.1174927,11.508102000000001,-3.4186553999999996,-0.15872192,-0.38981628,0.07608032,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-3.2243958,5.5681,9.708755499999999,-0.69454956,-0.1831665,-0.0006259999999999999,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.5316925,12.621414,-0.45463562,-0.19174194,-0.48675537,0.07608032,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-5.158905,3.6120300000000003,9.253860000000001,-0.7265166999999999,-0.12136841,-0.025115967000000003,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.0779877,14.208770999999999,-2.4897002999999995,-0.13528442,-0.6273804000000001,0.13360596,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-7.074264500000001,4.201004,2.0664673,-0.7350310999999999,0.15666199,-0.11566162,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,5.430649,15.341232000000002,-2.6309662,-0.6551361,-0.8180542,0.15597534,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-8.5251465,13.485717999999999,-7.2565612999999995,-0.19067383,0.55081177,-0.23071289,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,8.775345,10.366074000000001,6.792617999999999,-1.1675262,-0.95121765,0.07821655,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-10.591353999999999,9.250380999999999,-1.4218903,-0.15553284,0.85653687,-0.24882507,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,7.453750599999999,7.3014984,5.7056427,-0.78297424,-0.9671936,0.12614441,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-8.824432,9.398819,-0.31576538,0.090545654,0.70207214,-0.23498535,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,5.3947449999999995,4.2656403,12.696716,-0.49853516,-0.8042145,0.10697937,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-5.2211456,9.224045,-4.0219879999999995,0.5219879,0.53163147,-0.079452515,10.60212239,76.11342096,0.0,0
